281,'Freiburg'
47,'Hannover-Land II'
154,'Leipzig-Land'
238,'Coburg'
289,'Reutlingen'
236,'Bamberg'
131,'Gütersloh I'
184,'Groß-Gerau'
83,'Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost'
4,'Rendsburg-Eckernförde'
248,'Bad Kissingen'
95,'Köln III'
290,'Tübingen'
59,'Märkisch-Oderland – Barnim II'
58,'Oberhavel – Havelland II'
114,'Krefeld II – Wesel II'
85,'Berlin-Marzahn-Hellersdorf'
221,'München-Land'
121,'Recklinghausen I'
71,'Anhalt'
48,'Hildesheim'
82,'Berlin-Neukölln'
138,'Hagen – Ennepe-Ruhr-Kreis I'
53,'Göttingen'
152,'Leipzig I'
178,'Rheingau-Taunus – Limburg'
103,'Solingen – Remscheid – Wuppertal II'
92,'Euskirchen – Rhein-Erft-Kreis II'
279,'Pforzheim'
233,'Regensburg'
299,'Homburg'
50,'Braunschweig'
135,'Lippe I'
125,'Bottrop – Recklinghausen III'
77,'Berlin-Reinickendorf'
146,'Soest'
49,'Salzgitter – Wolfenbüttel'
234,'Schwandorf'
128,'Steinfurt III'
287,'Konstanz'
215,'Fürstenfeldbruck'
288,'Waldshut'
84,'Berlin-Treptow-Köpenick'
2,'Nordfriesland – Dithmarschen Nord'
64,'Cottbus – Spree-Neiße'
156,'Bautzen I'
269,'Backnang – Schwäbisch Gmünd'
61,'Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II'
209,'Kaiserslautern'
164,'Erzgebirgskreis I'
243,'Fürth'
203,'Trier'
87,'Aachen I'
126,'Borken II'
195,'Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis'
224,'Starnberg – Landsberg am Lech'
5,'Kiel'
30,'Stade I – Rotenburg II'
244,'Nürnberg-Nord'
22,'Hamburg-Wandsbek'
42,'Stadt Hannover II'
6,'Plön – Neumünster'
13,'Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I'
143,'Dortmund II'
46,'Hameln-Pyrmont – Holzminden'
159,'Dresden I'
18,'Hamburg-Mitte'
259,'Stuttgart II'
295,'Zollernalb – Sigmaringen'
33,'Diepholz – Nienburg I'
297,'Saarlouis'
162,'Chemnitz'
70,'Dessau – Wittenberg'
272,'Karlsruhe-Land'
191,'Jena – Sömmerda – Weimarer Land I'
117,'Oberhausen – Wesel III'
271,'Karlsruhe-Stadt'
76,'Berlin-Pankow'
27,'Oldenburg – Ammerland'
255,'Neu-Ulm'
192,'Gotha – Ilm-Kreis'
80,'Berlin-Charlottenburg-Wilmersdorf'
39,'Stadt Osnabrück'
34,'Osterholz – Verden'
40,'Nienburg II – Schaumburg'
132,'Bielefeld – Gütersloh II'
54,'Bremen I'
147,'Hochsauerlandkreis'
68,'Harz'
12,'Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I'
158,'Sächsische Schweiz-Osterzgebirge'
265,'Ludwigsburg'
247,'Aschaffenburg'
218,'München-Ost'
86,'Berlin-Lichtenberg'
253,'Augsburg-Land'
266,'Neckar-Zaber'
81,'Berlin-Tempelhof-Schöneberg'
296,'Saarbrücken'
62,'Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I'
100,'Rheinisch-Bergischer Kreis'
206,'Worms'
105,'Mettmann II'
69,'Magdeburg'
115,'Duisburg I'
65,'Elbe-Elster – Oberspreewald-Lausitz II'
166,'Vogtlandkreis'
284,'Offenburg'
228,'Landshut'
150,'Märkischer Kreis II'
226,'Weilheim'
251,'Würzburg'
63,'Frankfurt (Oder) – Oder-Spree'
148,'Siegen-Wittgenstein'
292,'Biberach'
267,'Heilbronn'
41,'Stadt Hannover I'
97,'Rhein-Sieg-Kreis I'
29,'Cuxhaven – Stade II'
149,'Olpe – Märkischer Kreis I'
123,'Gelsenkirchen'
211,'Südpfalz'
257,'Ostallgäu'
250,'Schweinfurt'
88,'Aachen II'
241,'Ansbach'
133,'Herford – Minden-Lübbecke II'
19,'Hamburg-Altona'
285,'Rottweil – Tuttlingen'
219,'München-Süd'
56,'Prignitz – Ostprignitz-Ruppin – Havelland I'
112,'Kleve'
171,'Marburg'
75,'Berlin-Mitte'
264,'Waiblingen'
94,'Köln II'
21,'Hamburg-Nord'
142,'Dortmund I'
25,'Unterems'
280,'Calw'
286,'Schwarzwald-Baar'
134,'Minden-Lübbecke I'
73,'Burgenland – Saalekreis'
173,'Gießen'
101,'Leverkusen – Köln IV'
185,'Offenbach'
129,'Münster'
99,'Oberbergischer Kreis'
55,'Bremen II – Bremerhaven'
268,'Schwäbisch Hall – Hohenlohe'
254,'Donau-Ries'
44,'Celle – Uelzen'
32,'Cloppenburg – Vechta'
14,'Rostock – Landkreis Rostock II'
43,'Hannover-Land I'
181,'Main-Taunus'
28,'Delmenhorst – Wesermarsch – Oldenburg-Land'
137,'Paderborn – Gütersloh III'
91,'Rhein-Erft-Kreis I'
261,'Esslingen'
145,'Hamm – Unna II'
168,'Kassel'
200,'Mosel/Rhein-Hunsrück'
216,'Ingolstadt'
98,'Rhein-Sieg-Kreis II'
278,'Bruchsal – Schwetzingen'
109,'Mönchengladbach'
245,'Nürnberg-Süd'
113,'Wesel I'
165,'Zwickau'
153,'Leipzig II'
116,'Duisburg II'
223,'Bad Tölz-Wolfratshausen – Miesbach'
294,'Ravensburg'
37,'Lüchow-Dannenberg – Lüneburg'
193,'Erfurt – Weimar – Weimarer Land II'
249,'Main-Spessart'
242,'Erlangen'
57,'Uckermark – Barnim I'
157,'Görlitz'
120,'Essen III'
89,'Heinsberg'
196,'Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg'
23,'Hamburg-Bergedorf – Harburg'
24,'Aurich – Emden'
179,'Wiesbaden'
124,'Steinfurt I – Borken I'
263,'Göppingen'
136,'Höxter – Lippe II'
67,'Börde – Jerichower Land'
246,'Roth'
276,'Odenwald – Tauber'
16,'Mecklenburgische Seenplatte I – Vorpommern-Greifswald II '
72,'Halle'
60,'Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I'
119,'Essen II'
260,'Böblingen'
208,'Neustadt – Speyer'
10,'Herzogtum Lauenburg – Stormarn-Süd'
217,'München-Nord'
15,'Vorpommern-Rügen – Vorpommern-Greifswald I'
239,'Hof'
104,'Mettmann I'
258,'Stuttgart I'
270,'Aalen – Heidenheim'
177,'Wetterau I'
237,'Bayreuth'
252,'Augsburg-Stadt'
7,'Pinneberg'
235,'Weiden'
275,'Mannheim'
198,'Ahrweiler'
155,'Meißen'
202,'Bitburg'
139,'Ennepe-Ruhr-Kreis II'
283,'Emmendingen – Lahr'
3,'Steinburg – Dithmarschen Süd'
74,'Mansfeld'
227,'Deggendorf'
102,'Wuppertal I'
127,'Coesfeld – Steinfurt II'
66,'Altmark'
163,'Chemnitzer Umland – Erzgebirgskreis II'
190,'Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis'
108,'Neuss I'
9,'Ostholstein – Stormarn-Nord'
186,'Darmstadt'
111,'Viersen'
214,'Freising'
52,'Goslar – Northeim – Osterode'
174,'Fulda'
31,'Mittelems'
256,'Oberallgäu'
293,'Bodensee'
151,'Nordsachsen'
90,'Düren'
107,'Düsseldorf II'
207,'Ludwigshafen/Frankenthal'
36,'Harburg'
26,'Friesland – Wilhelmshaven – Wittmund'
78,'Berlin-Spandau – Charlottenburg Nord'
180,'Hanau'
106,'Düsseldorf I'
197,'Neuwied'
11,'Lübeck'
110,'Krefeld I – Neuss II'
240,'Kulmbach'
194,'Gera – Greiz – Altenburger Land'
20,'Hamburg-Eimsbüttel'
204,'Montabaur'
17,'Mecklenburgische Seenplatte II – Landkreis Rostock III'
183,'Frankfurt am Main II'
187,'Odenwald'
35,'Rotenburg I – Heidekreis'
141,'Herne – Bochum II'
144,'Unna I'
229,'Passau'
277,'Rhein-Neckar'
93,'Köln I'
38,'Osnabrück-Land'
172,'Lahn-Dill'
79,'Berlin-Steglitz-Zehlendorf'
212,'Altötting'
273,'Rastatt'
45,'Gifhorn – Peine'
199,'Koblenz'
130,'Warendorf'
201,'Kreuznach'
210,'Pirmasens'
205,'Mainz'
169,'Werra-Meißner – Hersfeld-Rotenburg'
122,'Recklinghausen II'
176,'Hochtaunus'
8,'Segeberg – Stormarn-Mitte'
231,'Straubing'
51,'Helmstedt – Wolfsburg'
96,'Bonn'
298,'St. Wendel'
274,'Heidelberg'
167,'Waldeck'
170,'Schwalm-Eder'
188,'Bergstraße'
262,'Nürtingen'
118,'Mülheim – Essen I'
213,'Erding – Ebersberg'
160,'Dresden II – Bautzen II'
222,'Rosenheim'
291,'Ulm'
182,'Frankfurt am Main I'
230,'Rottal-Inn'
189,'Eichsfeld – Nordhausen – Kyffhäuserkreis'
220,'München-West/Mitte'
282,'Lörrach – Müllheim'
175,'Main-Kinzig – Wetterau II – Schotten'
225,'Traunstein'
232,'Amberg'
161,'Mittelsachsen'
140,'Bochum I'
1,'Flensburg – Schleswig'
